"   ";"CASEWHENSUBSTR(ART.TXT_ISSN_IS"
"693";"1808-8880"
"694";"1676-2320"
"695";"1552-5260"
"696";"0104-4289"
"697";"0923-4861"
"698";"1415-2800"
"699";"0101-5966"
"700";"0938-5428"
"701";"0196-3635"
"702";"0103-510"
"703";"1573-3955"
"704";"0889-9401"
"705";"0583-7693"
"706";"0212-6567"
"707";"1573-4064"
"708";"1096-8644"
"709";"1036-9368"
"710";"1516-910"
"711";"1676-6733"
"712";"1415-1111"
"713";"0009-9716"
"714";"0140-8341"
"715";"1516-1226"
"716";"1415-7802"
"717";"1095-9203"
"718";"1361-8415"
"719";"1747-0722"
"720";"0172-0643"
"721";"1517-9087"
"722";"1679-0758"
"723";"0037-069X"
"724";"1677-2938"
"725";"1901-8680"
"726";"2191-0251"
"727";"0006-91X"
"728";"1290-0796"
"729";"1981-996X"
"730";"1983-8034"
"731";"1679-7728"
"732";"0021-9487"
"733";"1564-3746"
"734";"1615-1615"
"735";"0360-3016"
"736";"1806-5287"
"737";"1532-2882"
"738";"1082-6319"
"739";"7862-983B"
"740";"1519-9029"
"741";"0935-8161"
"742";"0003-4088"
"743";"2175-5361"
"744";"0306-4530"
"745";"0306-4573"
"746";"1679-5377"
"747";"1808-561X"
"748";"1077-260X"
"749";"1984-977X"
"750";"0026-4695"
"751";"1040-9289"
"752";"8587-8938"
"753";"0307-3378"
"754";"1679-611X"
"755";"1133-1747"
"756";"2357-9323"
"757";"1982-7849"
"758";"1678-0818"
"759";"1677-8480"
"760";"0070-6728"
"761";"1980-0029"
"762";"0872-5624"
"763";"0042-3114"
"764";"1516-5744"
"765";"1520-5029"
"766";"1677-2296"
"767";"0149-2195"
"768";"0090-5364"
"769";"2965-5765"
"770";"0104-384"
"771";"1063-7737"
"772";"2179-1511"
"773";"1809-3353"
"774";"1980-4164"
"775";"0869-6918"
"776";"1471-2288"
"777";"2236-269X"
"778";"8598-1850"
"779";"0039-4734"
"780";"1809-8320"
"781";"0325-187X"
"782";"1324-0935"
"783";"1695-7253"
"784";"1678-9970"
"785";"1466-8564"
"786";"1517-6975"
"787";"1678-0272"
"788";"1464-7273"
"789";"0124-2172"
"790";"0007-1331"
"791";"1678-8656"
"792";"1311-6789"
"793";"0101-171X"
"794";"1807-5398"
"795";"1676-2312"
"796";"0037-5497"
"797";"0304-3878"
"798";"1679-9100"
"799";"1677-101X"
"800";"1082-3220"
"801";" 151-7243"
"802";"2236-1308"
"803";"1809-7804"
"804";"1982-5501"
"805";"1806-2598"
"806";"0874-1700"
"807";"0162-3257"
"808";"1014-806X"
"809";"0377-9424"
"810";"9812-416X"
"811";"0101-0964"
"812";"1677-2326"
"813";"1873-4324"
"814";"0101-290X"
"815";"0040-5833"
"816";"0717-7917"
"817";"1676-3149"
"818";"1516-7860"
"819";"0949-3026"
"820";"0307-6962"
