"   ";"CASEWHENSUBSTR(ART.TXT_ISSN_IS"
"138412";"1347-5916"
"138413";"1413-6925"
"138414";"2178-1060"
"138415";"2176-4173"
"138416";"9930-9720"
"138417";"1809-0428"
"138418";"2911-3854"
"138419";"1499-2671"
"138420";"1973-7998"
"138421";"0731-5723"
"138422";"2317-8825"
"138423";"2318-7301"
"138424";"1000-0335"
"138425";"2175-4136"
"138426";"2238-4308"
"138427";"2500-6436"
"138428";"2301-380X"
"138429";"1998-3603"
"138430";"0554-5587"
"138431";"1467-3583"
"138432";"2176-5803"
"138433";"1929-2732"
"138434";"1312-432X"
"138435";"9999-8888"
"138436";"1874-4346"
"138437";"2038-9442"
"138438";"1822-2234"
"138439";"1687-4765"
"138440";"0719-0905"
"138441";"2317-7233"
"138442";"0103-7074"
"138443";"1884-8796"
"138444";"2179-0756"
"138445";"9788-5623"
"138446";"2319-1414"
"138447";"2318-1044"
"138448";"2317-6121"
"138449";"2317-3602"
"138450";"2317-3254"
"138451";"2373-7379"
"138452";"2317-8736"
"138453";"0080-6233"
"138454";"2251-3701"
"138455";"1889-4178"
"138456";"2318-1443"
"138457";"0034-7093"
"138458";"1432-0983"
"138459";"0037-0005"
"138460";"1448-0992"
"138461";"1984-706X"
"138462";"2317-1847"
"138463";"2293-2160"
"138464";"1776-2847"
"138465";"1519-8413"
"138466";"2318-1354"
"138467";"2175-7992"
"138468";"2177-290X"
"138469";"2318-0099"
"138470";"1982-4225"
"138471";"2090-732X"
"138472";"2319-6726"
"138473";"1432-5195"
"138474";"9788-5731"
"138475";"2241-0996"
"138476";"2317-0603"
"138477";"1421-1432"
"138478";"1098-108X"
"138479";"2179-9074"
"138480";"1618-5293"
"138481";"2169-494X"
"138482";"2305-6428"
"138483";"2594-9713"
"138484";"2301-0681"
"138485";"2078-6778"
"138486";"0049-7916"
"138487";"2175-2958"
"138488";"1469-445X"
"138489";"1478-7953"
"138490";"2213-3461"
"138491";"1942-0676"
"138492";"2638-6135"
"138493";"1555-2462"
"138494";"1002-0063"
"138495";"1983-3148"
"138496";"2171-1141"
"138497";"0974-4053"
"138498";"1557-9654"
"138499";"1721-9164"
"138500";"1413-8558"
"138501";"2316-6010"
"138502";"1923-2799"
"138503";"2317-9805"
"138504";"1715-2593"
"138505";"2006-0165"
"138506";"1315-642X"
"138507";"1155-033X"
"138508";"1894-4425"
"138509";"1311-0160"
"138510";"1941-1618"
"138511";"1874-6349"
"138512";"1472-4642"
"138513";"1982-3110"
"138514";"1943-5584"
"138515";"2316-1760"
"138516";"0732-4715"
"138517";"2317-9457"
"138518";"0025-3153"
"138519";"2153-2974"
"138520";"2358-4739"
"138521";"2176-2172"
"138522";"9778-8566"
"138523";"1456-3274"
"138524";"1684-0089"
"138525";"2317-3769"
"138526";"1549-7801"
"138527";"2231-1815"
"138528";"1616-1572"
"138529";"1669-7111"
"138530";"1819-4775"
"138531";"2315-6864"
"138532";"2318-0838"
"138533";"0871-7516"
"138534";"2340-1745"
"138535";"1573-0816"
"138536";"0173-5322"
"138537";"1179-2566"
"138538";"8359-5484"
"138539";"1590-069X"
"138540";"0103-6778"
"138541";"1390-0102"
"138542";"1808-4663"
"138543";"1561-0411"
"138544";"8755-3449"
"138545";"9785-8537"
"138546";"1938-5390"
"138547";"4987-1575"
"138548";"1574-3624"
"138549";"1794-1652"
"138550";"2405-8823"
"138551";"2838-2577"
"138552";"0719-2495"
"138553";"1474-0001"
"138554";"1607-1621"
"138555";"0103-9399"
"138556";"1598-2351"
"138557";"1215-5273"
"138558";"2035-8008"
"138559";"1469-848X"
"138560";"7885-6354"
"138561";"2317-0654"
"138562";"1847-9804"
"138563";"1558-2205"
"138564";"2317-6016"
"138565";"1746-076X"
"138566";"2330-7455"
"138567";"1677-7065"
"138568";"9781-4799"
"138569";"2318-5414"
"138570";"2317-2495"
"138571";"2318-8642"
"138572";"0120-5120"
"138573";"2318-1168"
"138574";"1424-9294"
"138575";"1664-039X"
"138576";"1940-2554"
"138577";"2331-0669"
"138578";"1092-5171"
"138579";"1613-9674"
"138580";"2340-7166"
"138581";"9788-5857"
"138582";"2317-4900"
"138583";"2318-5406"
"138584";"1883-1985"
"138585";"2245-4464"
"138586";"2178-7056"
"138587";"0104-0394"
"138588";"2314-2561"
"138589";"2231-6935"
"138590";"1742-7673"
"138591";"1134-5306"
"138592";"2238-6243"
"138593";"2165-3917"
"138594";"2008-6563"
"138595";"1573-4889"
"138596";"2318-566X"
"138597";"1646-9518"
"138598";"1440-1614"
"138599";"1469-1833"
"138600";"2090-5114"
"138601";"2317-5583"
"138602";"2317-322X"
"138603";"1758-1125"
"138604";"3506-980X"
"138605";"2331-9623"
"138606";"2090-8091"
"138607";"2248-860X"
"138608";"1390-6631"
"138609";"1751-9659"
"138610";"2237-0358"
"138611";"0389-9160"
"138612";"2525-4022"
"138613";"5055-5058"
"138614";"1724-5575"
"138615";"2240-2950"
"138616";"9789-8717"
"138617";"2313-5316"
"138618";"2052-8582"
"138619";"2176-7793"
"138620";"2318-4620"
"138621";"0100-3985"
"138622";"1942-1354"
"138623";"1874-6365"
"138624";"0959-4787"
"138625";"0004-4315"
"138626";"1735-8523"
"138627";"1312-3300"
"138628";"2170-2172"
"138629";"1103-5371"
"138630";"0032-3179"
"138631";"1986-4094"
"138632";"1984-2285"
"138633";"2358-0259"
"138634";"5100-204X"
"138635";"1733-2842"
"138636";"2156-7689"
"138637";"1708-8569"
"138638";"1133-4525"
"138639";"1471-6348"
"138640";"2370-2671"
"138641";"2364-9570"
"138642";"2331-1878"
"138643";"0163-5964"
"138644";"2165-7831"
"138645";"2174-6753"
"138646";"1938-9116"
"138647";"2066-7779"
"138648";"2220-9212"
"138649";"1991-9919"
"138650";"2197-425X"
"138651";"2090-3170"
"138652";"0067-1923"
"138653";"2179-272X"
"138654";"1678-7543"
"138655";"1527-8204"
"138656";"2161-0487"
"138657";"2313-9242"
"138658";"0329-5183"
"138659";"2318-9622"
"138660";"0976-6502"
"138661";"2418-2424"
"138662";"2314-405X"
"138663";"2330-8613"
"138664";"0001-0012"
"138665";"2164-5337"
"138666";"2237-8979"
"138667";"1533-2993"
"138668";"2316-1819"
"138669";"2595-2455"
"138670";"1978-0965"
"138671";"2241-0998"
"138672";"2161-7546"
"138673";"2340-9959"
"138674";"2146-457X"
"138675";"1980-3450"
"138676";"1819-2926"
"138677";"2358-3002"
"138678";"1436-4646"
"138679";"2161-4865"
"138680";"1727-7191"
"138681";"1794-8932"
"138682";"0874-2642"
"138683";"1989-5313"
"138684";"2041-4005"
"138685";"2330-8249"
"138686";"1828-6003"
"138687";"1579-3680"
"138688";"1573-9368"
"138689";"2327-6681"
"138690";"2336-4358"
"138691";"1560-0408"
"138692";"2175-1617"
"138693";"1746-0220"
"138694";"2340-4752"
"138695";"1364-3703"
"138696";"2168-8451"
"138697";"2211-7407"
"138698";"2236-9228"
"138699";"2330-4596"
"138700";"1989-8924"
"138701";"0935-218X"
"138702";"1757-7799"
"138703";"1575-2410"
"138704";"1808-4201"
"138705";"2314-8411"
"138706";"2339-6989"
"138707";"2156-1729"
"138708";"1374-3864"
"138709";"2065-0609"
"138710";"2041-6539"
"138711";"0160-6979"
"138712";"2160-5874"
"138713";"2318-9894"
"138714";"1355-1841"
"138715";"1809-0478"
"138716";"2249-5622"
"138717";"1965-0892"
"138718";"2448-4245"
"138719";"0130-9393"
"138720";"2231-0541"
"138721";"2236-9252"
"138722";"2027-145X"
"138723";"0417-925X"
"138724";"2238-0124"
"138725";"1874-0219"
"138726";"0892-2764"
"138727";"2314-7156"
"138728";"2291-4471"
"138729";"2327-252X"
"138730";"0034-7123"
"138731";"2278-005X"
"138732";"1754-9965"
"138733";"0947-8965"
"138734";"2196-8888"
"138735";"2163-9027"
"138736";"1412-8271"
"138737";"2330-8214"
"138738";"1469-8153"
"138739";"2356-7759"
"138740";"2319-5967"
"138741";"2316-8285"
"138742";"2357-755X"
"138743";"2318-1079"
"138744";"4121-444X"
"138745";"1849-3327"
"138746";"2356-7082"
"138747";"1558-9293"
"138748";"2044-4761"
"138749";"1591-0951"
"138750";"1884-8730"
"138751";"2151-9668"
"138752";"0104-7488"
"138753";"2178-0919"
"138754";"2326-960X"
"138755";"2311-858X"
"138756";"2360-9478"
"138757";"0104-9755"
"138758";"2357-9247"
"138759";"1854-0424"
"138760";"0233-4305"
"138761";"2317-4013"
"138762";"1415-6572"
"138763";"2034-8517"
"138764";"2161-7554"
"138765";"0001-8368"
"138766";"1511-2780"
"138767";"2448-5039"
"138768";"2446-8355"
"138769";"1013-5472"
"138770";"2162-688X"
"138771";"2044-2823"
"138772";"1699-4205"
"138773";"2282-4219"
"138774";"2316-3380"
"138775";"2357-884X"
"138776";"1006-480X"
"138777";"2357-9021"
"138778";"0761-3032"
"138779";"2357-1818"
"138780";"1647-7367"
"138781";"1474-7049"
"138782";"1808-6846"
"138783";"2175-390X"
"138784";"2641-192X"
"138785";"1544-2896"
"138786";"1438-2563"
"138787";"2178-6003"
"138788";"1074-3022"
"138789";"1611-6038"
"138790";"1687-9139"
"138791";"1983-913X"
"138792";"0016-0725"
"138793";"1539-6630"
"138794";"1354-5701"
"138795";"1807-1610"
"138796";"2220-5616"
"138797";"2225-4757"
"138798";"2036-6743"
"138799";"1958-5381"
"138800";"2090-6943"
"138801";"1852-4265"
"138802";"2309-4948"
"138803";"1980-2412"
"138804";"1617-1788"
"138805";"1818-1355"
"138806";"1400-018X"
"138807";"7840-0071"
"138808";"1347-6114"
"138809";"2049-0801"
"138810";"1996-2013"
"138811";"2234-7518"
"138812";"1518-5380"
"138813";"0658-0072"
"138814";"1344-6303"
"138815";"2046-9128"
"138816";"1679-8985"
"138817";"1923-7332"
"138818";"2317-4781"
"138819";"2701-5893"
"138820";"0803-2696"
"138821";"0020-8833"
"138822";"1584-381X"
"138823";"2117-3548"
"138824";"2079-1704"
"138825";"1072-0839"
"138826";"2040-1876"
"138827";"2333-357X"
"138828";"1128-7462"
"138829";"2167-5678"
"138830";"2076-5398"
"138831";"1365-2419"
"138832";"2249-7641"
"138833";"1755-8735"
"138834";"1981-7389"
"138835";"2285-0918"
"138836";"1976-2283"
"138837";"1806-5459"
"138838";"1735-7020"
"138839";"2301-0371"
"138840";"2148-1148"
"138841";"2219-2824"
"138842";"6036-0475"
"138843";"1573-2711"
"138844";"1809-3265"
"138845";"1385-4585"
"138846";"1664-2872"
"138847";"1865-8342"
"138848";"1809-6352"
"138849";"2047-3710"
"138850";"1519-0105"
"138851";"1981-1220"
"138852";"0748-0725"
"138853";"1213-0117"
"138854";"2053-3918"
"138855";"2327-5162"
"138856";"2169-2653"
"138857";"1572-9907"
"138858";"2177-658X"
"138859";"2316-2000"
"138860";"2362-4191"
"138861";"1679-9298"
"138862";"2334-2307"
"138863";"2316-5370"
"138864";"1732-7429"
"138865";"2153-0645"
"138866";"0973-9599"
"138867";"0719-4714"
"138868";"2250-3137"
"138869";"1349-5232"
"138870";"1022-9272"
"138871";"2356-7872"
"138872";"2037-1209"
"138873";"0716-8594"
"138874";"2238-8799"
"138875";"2177-7713"
"138876";"2177-3423"
"138877";"2168-1244"
"138878";"1516-8705"
"138879";"2238-8532"
"138880";"2558-1565"
"138881";"1815-7661"
"138882";"1135-8793"
"138883";"2318-8960"
"138884";"2581-3366"
"138885";"2236-7659"
"138886";"3248-6756"
"138887";"1347-605X"
"138888";"2236-7684"
"138889";"1017-1827"
"138890";"2325-4637"
"138891";"1555-2810"
"138892";"2316-2838"
"138893";"0080-9705"
"138894";"2446-838X"
"138895";"1981-5999"
"138896";"2107-2908"
"138897";"9141-6765"
"138898";"2595-4474"
"138899";"1994-0424"
"138900";"1226-5934"
"138901";"2526-1789"
"138902";"1559-064X"
"138903";"2236-6992"
"138904";"2324-9307"
"138905";"0328-2151"
"138906";"0719-1529"
"138907";"1759-4766"
"138908";"1880-7062"
"138909";"2525-6825"
"138910";"2595-9409"
"138911";"1664-2383"
"138912";"2214-5095"
"138913";"1529-1553"
"138914";"2311-9071"
"138915";"1744-7402"
"138916";"2213-3887"
"138917";"2239-3145"
"138918";"2526-7949"
"138919";"2252-4444"
"138920";"2358-484X"
"138921";"1751-2948"
"138922";"2577-1914"
"138923";"1469-9966"
"138924";"1517-0360"
"138925";"1677-6199"
"138926";"2372-0956"
"138927";"2358-4394"
"138928";"2038-6583"
"138929";"2358-2057"
"138930";"2261-3471"
"138931";"2179-0437"
"138932";"2176-7003"
"138933";"2322-3944"
"138934";"1557-458X"
"138935";"2317-9056"
"138936";"2187-6657"
"138937";"0886-9633"
"138938";"0975-1815"
"138939";"2336-7306"
"138940";"2281-6550"
"138941";"6905-3719"
"138942";"1746-8779"
"138943";"2079-0031"
"138944";"1105-0004"
"138945";"0399-0826"
"138946";"2278-5209"
"138947";"2279-7335"
"138948";"2348-7550"
"138949";"2317-3270"
"138950";"2007-5111"
"138951";"1646-5105"
"138952";"0104-0460"
"138953";"2358-2162"
"138954";"0174-3120"
"138955";"2328-7942"
"138956";"2359-5590"
"138957";"2391-5420"
"138958";"2374-2356"
"138959";"0066-6297"
"138960";"2347-5919"
"138961";"1809-7529"
"138962";"1930-0972"
"138963";"2334-296X"
"138964";"1598-2386"
"138965";"1435-1536"
"138966";"2446-8436"
"138967";"2014-5710"
"138968";"1576-7914"
"138969";"1981-8979"
"138970";"1762-7370"
"138971";"1663-9391"
"138972";"2177-3383"
"138973";"1807-8831"
"138974";"2177-6148"
"138975";"2168-5460"
"138976";"2349-5987"
"138977";"1469-8749"
"138978";"1721-0178"
"138979";"0000-4043"
"138980";"0003-2778"
"138981";"2159-256X"
"138982";"0101-917X"
"138983";"9783-3190"
"138984";"2320-0634"
"138985";"1836-5787"
"138986";"2737-812X"
"138987";"2447-5815"
"138988";"1710-1166"
"138989";"2218-8266"
"138990";"1423-0445"
"138991";"1853-676X"
"138992";"2358-4777"
"138993";"2182-696X"
"138994";"2178-1571"
"138995";"2296-0503"
"138996";"2167-8421"
"138997";"0102-361X"
"138998";"2310-9971"
"138999";"1432-0959"
"139000";"1520-6394"
"139001";"2358-7938"
"139002";"2014-9255"
"139003";"2145-4086"
"139004";"1834-7375"
"139005";"1089-7674"
"139006";"9789-8145"
"139007";"0957-4173"
"139008";"2358-6796"
"139009";"2316-5626"
"139010";"2359-0041"
"139011";"2374-6904"
"139012";"2255-078X"
"139013";"1881-4690"
"139014";"2322-0139"
"139015";"0365-373X"
"139016";"1981-316X"
"139017";"2224-4263"
"139018";"2167-485X"
"139019";"1005-1015"
"139020";"2183-3451"
"139021";"2358-3126"
"139022";"2358-7458"
"139023";"1432-9123"
"139024";"2359-3431"
"139025";"2162-8548"
"139026";"1213-0028"
"139027";"7035-3238"
"139028";"2333-9233"
"139029";"1874-303X"
"139030";"1661-637X"
"139031";"1982-7836"
"139032";"2317-0774"
"139033";"2147-4249"
"139034";"2313-5737"
"139035";"1571-0718"
"139036";"2376-0060"
"139037";"1666-6933"
"139038";"0100-735X"
"139039";"2764-5827"
"139040";"2177-2460"
"139041";"2347-0658"
"139042";"2307-6976"
"139043";"2333-6684"
"139044";"2178-7101"
"139045";"1300-8358"
"139046";"1756-1477"
"139047";"2674-7189"
"139048";"2317-3831"
"139049";"0975-0328"
"139050";"2071-0216"
"139051";"0325-6990"
"139052";"2320-2068"
"139053";"2233-4203"
"139054";"2178-0790"
"139055";"1978-6980"
"139056";"1672-4070"
"139057";"1020-9581"
"139058";"2281-3063"
"139059";"2329-0501"
"139060";"2358-8713"
"139061";"1981-4223"
"139062";"2358-3045"
"139063";"2230-5126"
"139064";"2422-5541"
"139065";"1984-9833"
"139066";"2357-9765"
"139067";"2358-4408"
"139068";"0956-5628"
"139069";"1537-4505"
"139070";"0719-5567"
"139071";"0945-5167"
"139072";"2077-4435"
"139073";"2358-7512"
"139074";"2318-0951"
"139075";"1982-4571"
"139076";"0032-7875"
"139077";"7040-3669"
"139078";"0095-3997"
"139079";"2213-2414"
"139080";"2488-7292"
"139081";"2259-7077"
"139082";"1607-7970"
"139083";"2184-5335"
"139084";"1779-3155"
"139085";"2346-9986"
"139086";"0102-6564"
"139087";"0185-1616"
"139088";"2249-7560"
"139089";"1517-572X"
"139090";"2372-5079"
"139091";"1555-1393"
"139092";"2359-2109"
"139093";"1994-2899"
"139094";"2214-1669"
"139095";"1985-2965"
"139096";"2047-7481"
"139097";"2386-6799"
"139098";"2465-9734"
"139099";"2254-3643"
"139100";"1888-5462"
"139101";"2318-8924"
"139102";"2308-4421"
"139103";"2226-0781"
"139104";"1972-8470"
"139105";"2182-7877"
"139106";"0513-4870"
"139107";"0363-1990"
"139108";"2359-1234"
"139109";"1557-9263"
"139110";"2359-280X"
"139111";"1295-7810"
"139112";"2318-3789"
"139113";"1870-5707"
"139114";"1519-382X"
"139115";"1661-8563"
"139116";"1983-3917"
"139117";"2047-2382"
"139118";"2348-9804"
"139119";"1949-0119"
"139120";"1909-7729"
"139121";"1244-000X"
"139122";"0101-6016"
"139123";"2358-0461"
"139124";"0269-817X"
"139125";"2326-2885"
"139126";"1414-573X"
"139127";"2231-1776"
"139128";"2358-5803"
"139129";"0353-4790"
"139130";"2314-3894"
"139131";"1842-256X"
"139132";"2064-9401"
"139133";"2014-5100"
"139134";"2331-6470"
"139135";"0145-8883"
"139136";"1448-0131"
"139137";"2359-0254"
"139138";"2493-7831"
"139139";"2422-2704"
"139140";"1476-1548"
"139141";"0037-7272"
"139142";"1308-772X"
"139143";"2238-4294"
"139144";"2167-8588"
"139145";"2236-0328"
"139146";"2448-3184"
"139147";"0026-491X"
"139148";"1651-1688"
"139149";"0567-7575"
"139150";"2316-2775"
"139151";"2318-8693"
"139152";"1179-1969"
"139153";"2359-3288"
"139154";"2225-958X"
"139155";"0101-4830"
"139156";"1211-3859"
"139157";"1806-5108"
"139158";"1554-8937"
"139159";"1578-8393"
"139160";"1848-4735"
"139161";"2165-8102"
"139162";"2422-6459"
"139163";"1439-5142"
"139164";"2447-9403"
"139165";"2333-6080"
"139166";"7885-8302"
"139167";"0032-9347"
"139168";"0003-8105"
"139169";"2326-7119"
"139170";"2359-5450"
"139171";"2529-7775"
"139172";"1983-1639"
"139173";"2376-1032"
"139174";"2307-3129"
"139175";"0513-5796"
"139176";"1947-3184"
"139177";"1853-7863"
"139178";"1874-4745"
"139179";"1659-2913"
"139180";"2183-3990"
"139181";"2051-543X"
"139182";"2278-5415"
"139183";"1695-2731"
"139184";"2525-5770"
"139185";"2165-7939"
"139186";"2040-2066"
"139187";"1000-2416"
"139188";"1498-0207"
"139189";"1981-1779"
"139190";"2359-571X"
"139191";"2001-3078"
"139192";"1099-9264"
"139193";"2359-6295"
"139194";"1695-9310"
"139195";"2357-9811"
"139196";"0084-3539"
"139197";"2358-7601"
"139198";"2264-8544"
"139199";"2411-1821"
"139200";"2225-6563"
"139201";"1338-4260"
"139202";"2076-3271"
"139203";"0395-899X"
"139204";"1403-6096"
"139205";"1877-9352"
"139206";"1904-9617"
"139207";"0001-5563"
"139208";"1932-2240"
"139209";"1909-6220"
"139210";"2183-4709"
"139211";"2359-4136"
"139212";"1646-3131"
"139213";"1004-8308"
"139214";"1879-0712"
"139215";"2334-2331"
"139216";"1791-2377"
"139217";"2007-9656"
"139218";"2364-3722"
"139219";"1613-396X"
"139220";"1647-9424"
"139221";"1951-624X"
"139222";"2322-9152"
"139223";"2177-346X"
"139224";"2177-0344"
"139225";"2071-9736"
"139226";"2376-9440"
"139227";"2547-2528"
"139228";"2446-4872"
"139229";"2316-6216"
"139230";"2381-8891"
"139231";"2175-1018"
"139232";"1533-3884"
"139233";"2377-1542"
"139234";"1927-7318"
"139235";"2214-6695"
"139236";"2446-5208"
"139237";"2267-3059"
"139238";"2082-1212"
"139239";"1891-3155"
"139240";"1890-6930"
"139241";"0795-4778"
"139242";"1808-869X"
"139243";"1469-929X"
"139244";"0391-7487"
"139245";"1862-5290"
"139246";"2316-6029"
"139247";"1127-1345"
"139248";"1743-2863"
"139249";"2211-3711"
"139250";"2446-5569"
"139251";"2378-3168"
"139252";"0120-0429"
"139253";"2472-3592"
"139254";"2446-5798"
"139255";"9857-6138"
"139256";"0987-4135"
"139257";"0185-1926"
"139258";"2108-6532"
"139259";"0036-3575"
"139260";"2007-8447"
"139261";"2378-3079"
"139262";"2378-0965"
"139263";"2183-1289"
"139264";"1756-1418"
"139265";"2229-791X"
"139266";"2317-0826"
"139267";"1943-0663"
"139268";"1957-701X"
"139269";"2378-7090"
"139270";"2408-4573"
"139271";"2284-1180"
"139272";"2359-4934"
"139273";"2382-6533"
"139274";"2168-9431"
"139275";"1947-931X"
"139276";"2241-7079"
"139277";"9788-5212"
"139278";"2337-1664"
"139279";"1390-6615"
"139280";"1519-8792"
"139281";"1109-2014"
"139282";"2153-957X"
"139283";"2328-7322"
"139284";"1970-2205"
"139285";"2763-924X"
"139286";"1932-927X"
"139287";"9788-4606"
"139288";"1521-7388"
"139289";"2055-8074"
"139290";"1793-7442"
"139291";"2358-5269"
"139292";"1862-2297"
"139293";"0393-4055"
"139294";"2446-8185"
"139295";"1365-2869"
"139296";"2176-2821"
"139297";"2192-6670"
"139298";"1000-7571"
"139299";"2395-8448"
"139300";"2313-2698"
"139301";"2332-8215"
"139302";"1576-9127"
"139303";"1478-9949"
"139304";"2446-6697"
"139305";"1099-131X"
"139306";"1572-9869"
"139307";"2238-1597"
"139308";"2405-5352"
"139309";"1676-4855"
"139310";"1970-1995"
"139311";"2160-1909"
"139312";"0717-8832"
"139313";"2446-7936"
"139314";"8015-0407"
"139315";"2320-0189"
"139316";"2000-1967"
"139317";"1516-442X"
"139318";"2162-2965"
"139319";"1911-4656"
"139320";"2816-1809"
"139321";"2326-0254"
"139322";"1983-6015"
"139323";"2236-4439"
"139324";"1479-1072"
"139325";"1998-0833"
"139326";"2446-5441"
"139327";"6814-7931"
"139328";"2050-439X"
"139329";"2316-2316"
"139330";"2446-8347"
"139331";"0100-1987"
"139332";"1741-5136"
"139333";"1746-725X"
"139334";"2238-9780"
"139335";"2055-2238"
"139336";"2313-9129"
"139337";"2358-7091"
"139338";"2214-1324"
"139339";"0960-3366"
"139340";"2446-5143"
"139341";"1743-8586"
"139342";"6006-9606"
"139343";"2359-635X"
"139344";"2348-521X"
"139345";"1891-4089"
"139346";"1937-6448"
"139347";"1414-0477"
"139348";"2167-8065"
"139349";"1436-5065"
"139350";"1405-5802"
"139351";"2596-1403"
"139352";"1469-588X"
"139353";"2358-7164"
"139354";"1200-4956"
"139355";"2358-288X"
"139356";"2708-4751"
"139357";"2326-4594"
"139358";"2594-4827"
"139359";"2384-4752"
"139360";"1543-9542"
"139361";"1984-3253"
"139362";"3272-4988"
"139363";"0974-2328"
"139364";"1174-4707"
"139365";"2322-3219"
"139366";"0046-760X"
"139367";"2047-0298"
"139368";"2327-7017"
"139369";"1841-0987"
"139370";"2017-0398"
"139371";"0048-9336"
"139372";"2447-097X"
"139373";"1995-2005"
"139374";"0874-4068"
"139375";"1851-1686"
"139376";"0214-1728"
"139377";"2447-0902"
"139378";"2256-1676"
"139379";"2447-6803"
"139380";"2372-5931"
"139381";"0719-790X"
"139382";"0000-299X"
"139383";"1984-1181"
"139384";"0966-9002"
"139385";"2007-4921"
"139386";"2007-073X"
"139387";"1763-5152"
"139388";"2350-0557"
"139389";"0130-4014"
"139390";"2673-3013"
"139391";"1646-9909"
"139392";"1997-700X"
"139393";"1226-0266"
"139394";"0103-1617"
"139395";"2319-0000"
"139396";"1809-396X"
"139397";"2446-886X"
"139398";"2360-7971"
"139399";"1678-9836"
"139400";"1981-4800"
"139401";"1982-1666"
"139402";"2212-1447"
"139403";"0124-0664"
"139404";"2331-3463"
"139405";"1179-2523"
"139406";"0102-3020"
"139407";"1756-1957"
"139408";"1909-7891"
"139409";"1515-2553"
"139410";"4440-5666"
"139411";"1018-5941"
"139412";"2007-0403"
"139413";"2447-2663"
"139414";"1518-3563"
"139415";"2176-9715"
"139416";"2359-6279"
"139417";"1572-9893"
"139418";"2447-3406"
"139419";"2167-7964"
"139420";"2176-0933"
"139421";"2231-606X"
"139422";"1757-5850"
"139423";"2336-3193"
"139424";"1414-8853"
"139425";"2318-7840"
"139426";"2009-7123"
"139427";"0788-5626"
"139428";"1337-2211"
"139429";"2447-0198"
"139430";"2447-2492"
"139431";"1552-3578"
"139432";"2308-4278"
"139433";"2236-8086"
"139434";"1878-5123"
"139435";"1807-160X"
"139436";"2359-3992"
"139437";"1809-162X"
"139438";"0168-132X"
"139439";"0917-6985"
"139440";"2239-7132"
"139441";"0100-7476"
"139442";"1990-9484"
"139443";"2341-1651"
"139444";"1645-8826"
"139445";"7892-1049"
"139446";"1827-6164"
"139447";"2238-1074"
"139448";"2447-3642"
"139449";"2596-0865"
"139450";"1909-0455"
"139451";"2450-2650"
"139452";"2447-1658"
"139453";"2358-274X"
"139454";"1435-5566"
"139455";"2314-6478"
"139456";"1983-4313"
"139457";"1789-6991"
"139458";"0022-0094"
"139459";"2169-9011"
"139460";"1682-6745"
"139461";"2359-4810"
"139462";"2531-2553"
"139463";"2397-1304"
"139464";"2357-9080"
"139465";"7000-811X"
"139466";"1387-2842"
"139467";"0719-448X"
"139468";"1718-4304"
"139469";"0976-4450"
"139470";"1347-3913"
"139471";"2359-1315"
"139472";"2447-5860"
"139473";"2284-6808"
"139474";"1458-8996"
"139475";"2965-5412"
"139476";"0101-3552"
"139477";"2471-8203"
"139478";"1678-6253"
"139479";"2596-1446"
"139480";"2346-8734"
"139481";"0973-7111"
"139482";"2447-4436"
"139483";"2006-2015"
"139484";"2374-1924"
"139485";"9788-5821"
"139486";"3301-5374"
"139487";"1688-9703"
"139488";"2447-7648"
"139489";"1069-0727"
"139490";"2446-807X"
"139491";"2326-7275"
"139492";"2011-9607"
"139493";"2174-6419"
"139494";"2381-7798"
"139495";"2328-2231"
"139496";"2183-7252"
"139497";"2072-6589"
"139498";"8592-015X"
"139499";"2374-1724"
"139500";"2380-4491"
"139501";"2049-4637"
"139502";"0271-0293"
"139503";"0175-274X"
"139504";"2223-4934"
"139505";"2363-7005"
"139506";"2356-7465"
"139507";"1678-720X"
"139508";"0327-3687"
"139509";"2357-7358"
"139510";"1680-3817"
"139511";"0102-5082"
"139512";"2447-8369"
"139513";"2311-7451"
"139514";"0719-689X"
"139515";"2358-5199"
"139516";"2183-3176"
"139517";"1927-7733"
"139518";"0097-121X"
"139519";"2220-2188"
"139520";"1825-7526"
"139521";"2151-4704"
"139522";"7066-2135"
"139523";"2556-5353"
"139524";"2261-186X"
"139525";"2447-6374"
"139526";"2447-4622"
"139527";"2396-8303"
"139528";"2222-2011"
"139529";"2178-1958"
"139530";"2675-8350"
"139531";"2525-8028"
"139532";"2059-1977"
"139533";"2134-2438"
"139534";"2659-4373"
"139535";"1515-3738"
"139536";"2317-8496"
"139537";"2056-7863"
"139538";"1948-7645"
"139539";"1472-3654"
"139540";"2447-5386"
"139541";"2316-6877"
"139542";"0124-026X"
"139543";"1513-2512"
"139544";"0186-1891"
"139545";"2236-536X"
"139546";"2595-7651"
"139547";"2447-7176"
"139548";"2236-7434"
"139549";"1542-4308"
"139550";"2471-0261"
"139551";"2455-2577"
"139552";"1567-7141"
"139553";"7802-4435"
"139554";"2104-3736"
"139555";"1852-4206"
"139556";"1567-2743"
"139557";"2447-8695"
"139558";"2469-6714"
"139559";"2347-4882"
"139560";"0924-2243"
"139561";"1572-9222"
"139562";"2177-0382"
"139563";"9786-8122"
"139564";"2373-7484"
"139565";"1447-0309"
"139566";"1806-5018"
"139567";"1433-8351"
"139568";"2314-5684"
"139569";"2573-6078"
"139570";"2538-6990"
"139571";"2357-9022"
"139572";"2469-5734"
"139573";"1068-7831"
"139574";"1806-965X"
